entry_number,soloist_instrument,soloist_name,soloist_roles,season,program_id,id
40407,Violin,"Dicterow, Glenn",S,2001-02,13586,3aea2113-1a0c-4e44-a111-55b87e3970ee
40408,Cello,"Gutman, Natalia",S,2001-02,8981,704692e2-c621-4a34-8f44-5bcac43ce420
40409,Violin,"Dicterow, Glenn",S,2001-02,9272,a0a4e0b9-03aa-402a-9698-8200dba81a3d
40412,Violin,"Dicterow, Glenn",A,2001-02,12572,722f2e82-eb11-49bf-96a2-bab6aca3c2ad
40413,Violin,"Staples, Sheryl",A,2001-02,12572,722f2e82-eb11-49bf-96a2-bab6aca3c2ad
40414,Viola,"Phelps, Cynthia",A,2001-02,12572,722f2e82-eb11-49bf-96a2-bab6aca3c2ad
40415,Viola,"Rinehart, Robert",A,2001-02,12572,722f2e82-eb11-49bf-96a2-bab6aca3c2ad
40416,Cello,"Brey, Carter",A,2001-02,12572,722f2e82-eb11-49bf-96a2-bab6aca3c2ad
40417,Cello,"Ni, Hai-Ye",A,2001-02,12572,722f2e82-eb11-49bf-96a2-bab6aca3c2ad
40418,Violin,"Mutter, Anne-Sophie",S,2001-02,8984,a4d6fdb8-b3cc-4344-83fd-78f0abed54df
40420,Violin,"Mutter, Anne-Sophie",S,2001-02,9034,d75e83a1-d298-478b-b85e-73d2b00e7801
40421,Violin,"Mutter, Anne-Sophie",S,2001-02,9247,58e6397a-caec-4958-ac91-651e65e5fc0d
40423,Cello,"Gutman, Natalia",S,2001-02,8980,681a44e7-36a2-4368-8ccc-00063ad1ed98
40424,Violin,"Kim, Michelle",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40425,Violin,"Ginsberg, Marc",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40426,Viola,"Phelps, Cynthia",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40427,Viola,"Young, Rebecca",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40428,Cello,"Brey, Carter",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40429,Cello,"Ni, Hai-Ye",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40430,Oboe,"Robinson, Joseph",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40431,Oboe,"Botti, Robert",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40432,Clarinet,"Drucker, Stanley",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40433,Clarinet,"Nuccio, Mark",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40434,Bassoon,"LeClair, Judith",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40435,Bassoon,"Fast, Arlen",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40436,French Horn,"Ralske, Erik",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40437,French Horn,"Spanjer, R. Allen",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40438,Trumpet,"Smith, Philip",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40439,Trumpet,"Penzarella, Vincent",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40440,Trumpet,"Sullivan, Robert",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40441,Trumpet,"Smith, Thomas V.",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40442,French Horn,"Myers, Philip",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40443,French Horn,"Wall, Howard",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40444,French Horn,"Kuyper, L. William",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40445,Trombone,"Alessi, Joseph",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40446,Trombone,"Finlayson, David",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40447,Trombone,"Markey, James",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40448,Bass Trombone,"Harwood, Donald",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40449,Tuba,"Turner, Kyle",A,2001-02,9274,52aacedc-de64-4248-b229-06f5f0611f02
40472,Violin,"Dicterow, Glenn",S,2001-02,9082,6704108f-7d0f-4419-9887-3dc0cae70253
40473,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9082,6704108f-7d0f-4419-9887-3dc0cae70253
40474,Violin,"Dicterow, Glenn",S,2001-02,9049,038cd9b0-23d1-4ce7-be33-dc7db0a00341
40475,Violin,"Dicterow, Glenn",S,2001-02,9050,53b345cd-ffdb-49e9-82cd-064c8f6b0634
40476,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9050,53b345cd-ffdb-49e9-82cd-064c8f6b0634
