entry_number,soloist_instrument,soloist_name,soloist_roles,season,program_id,id
40660,Piano,"Bailey, Art",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40661,Guitar,"Warschauer, Jeff",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40662,Mandolin,"Warschauer, Jeff",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40663,Banjo,"Warschauer, Jeff",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40664,Contrabass,"Guttman, Jim",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40665,Drum Set,"Smith, Grant",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40666,Audio Engineer,"Servies, John",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40667,Audio Engineer,"Parsons, Dana",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40668,Soprano,"Futral, Elizabeth",S,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40669,Contralto,"Larsson, Anna",S,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40670,Countertenor,"Daniels, David",S,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40671,Tenor,"Croft, Richard",S,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40672,Bass-Baritone,"Berg, Nathan",S,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40673,Chorus,Westminster Symphonic Choir,S,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40674,Cello,"Ni, Hai-Ye",A,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40675,Contrabass,"Deak, Jon",A,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
40676,Bassoon,"Laskowski, Kim",A,2002-03,9151,0f15a9e4-f6d2-4f82-8231-8b97804b089c
